period,region,sku,sales amount,pandemic
1/1/2019,Indonesia,sku 141,1534653.4,0
2/1/2019,Indonesia,sku 141,1310567.4,0
3/1/2019,Indonesia,sku 141,1496013.1,0
4/1/2019,Indonesia,sku 141,1482934.5,0
5/1/2019,Indonesia,sku 141,1527241,0
6/1/2019,Indonesia,sku 141,1597933.9,0
7/1/2019,Indonesia,sku 141,1613474.7,0
8/1/2019,Indonesia,sku 141,1569330.6,0
9/1/2019,Indonesia,sku 141,1526240.4,0
10/1/2019,Indonesia,sku 141,1672479.8,0
11/1/2019,Indonesia,sku 141,1644888.1,0
12/1/2019,Indonesia,sku 141,1696020.3,0
1/1/2020,Indonesia,sku 141,1648264.9,0
2/1/2020,Indonesia,sku 141,1524382.2,0
3/1/2020,Indonesia,sku 141,1545204.8,0
4/1/2020,Indonesia,sku 141,1201791.8,1
5/1/2020,Indonesia,sku 141,962374.5,1
6/1/2020,Indonesia,sku 141,1095035.2,1
7/1/2020,Indonesia,sku 141,1108923.3,1
8/1/2020,Indonesia,sku 141,1213578.3,1
9/1/2020,Indonesia,sku 141,1232224.5,1
10/1/2020,Indonesia,sku 141,1242240.3,1
11/1/2020,Indonesia,sku 141,1306509.6,1
12/1/2020,Indonesia,sku 141,1358150.8,1
1/1/2021,Indonesia,sku 141,1309702.9,1
2/1/2021,Indonesia,sku 141,1186109.9,1
3/1/2021,Indonesia,sku 141,1303513.1,1
4/1/2021,Indonesia,sku 141,1307881.5,1
5/1/2021,Indonesia,sku 141,1353818.2,1
6/1/2021,Indonesia,sku 141,1437391,1
7/1/2021,Indonesia,sku 141,1299533.3,1
8/1/2021,Indonesia,sku 141,1335375.4,1
9/1/2021,Indonesia,sku 141,1455719.4,1
10/1/2021,Indonesia,sku 141,1578541.3,1
11/1/2021,Indonesia,sku 141,1594533.1,1
12/1/2021,Indonesia,sku 141,1619722,1
1/1/2022,Indonesia,sku 141,1659229.3,1
1/1/2019,Indonesia,sku 341,747891.9,0
2/1/2019,Indonesia,sku 341,626367,0
3/1/2019,Indonesia,sku 341,710259.3,0
4/1/2019,Indonesia,sku 341,717015.6,0
5/1/2019,Indonesia,sku 341,748816,0
6/1/2019,Indonesia,sku 341,783350.8,0
7/1/2019,Indonesia,sku 341,803748.8,0
8/1/2019,Indonesia,sku 341,774466.1,0
9/1/2019,Indonesia,sku 341,723388,0
10/1/2019,Indonesia,sku 341,805258.3,0
11/1/2019,Indonesia,sku 341,777509.8,0
12/1/2019,Indonesia,sku 341,810341.8,0
1/1/2020,Indonesia,sku 341,786599.4,0
2/1/2020,Indonesia,sku 341,718217.2,0
3/1/2020,Indonesia,sku 341,729082.2,0
4/1/2020,Indonesia,sku 341,573318,1
5/1/2020,Indonesia,sku 341,454273.8,1
6/1/2020,Indonesia,sku 341,518414,1
7/1/2020,Indonesia,sku 341,533266.4,1
8/1/2020,Indonesia,sku 341,602858.6,1
9/1/2020,Indonesia,sku 341,607835.2,1
10/1/2020,Indonesia,sku 341,610368.2,1
11/1/2020,Indonesia,sku 341,632758.3,1
12/1/2020,Indonesia,sku 341,624560.9,1
1/1/2021,Indonesia,sku 341,606048.6,1
2/1/2021,Indonesia,sku 341,545240,1
3/1/2021,Indonesia,sku 341,602795.4,1
4/1/2021,Indonesia,sku 341,600328.9,1
5/1/2021,Indonesia,sku 341,614548.5,1
6/1/2021,Indonesia,sku 341,662672.6,1
7/1/2021,Indonesia,sku 341,599812.2,1
8/1/2021,Indonesia,sku 341,609712.8,1
9/1/2021,Indonesia,sku 341,644179.5,1
10/1/2021,Indonesia,sku 341,696581.6,1
11/1/2021,Indonesia,sku 341,707623.5,1
12/1/2021,Indonesia,sku 341,713067,1
1/1/2022,Indonesia,sku 341,744064.2,1
1/1/2019,Indonesia,sku87,62249.1,0
2/1/2019,Indonesia,sku87,52748,0
3/1/2019,Indonesia,sku87,61466.6,0
4/1/2019,Indonesia,sku87,59568.8,0
